Percentage,Propagation Time,Min Delay,Max Delay
0,0.0,0,0
2,2.5,2.0,3.0
4,3.5,3.0,4.0
6,3.5,3.0,4.0
8,4.0,4.0,4.0
10,4.0,4.0,4.0
12,4.0,4.0,4.0
14,4.5,4.0,5.0
16,5.0,4.0,6.0
18,5.0,4.0,6.0
20,5.0,4.0,6.0
22,5.0,4.0,6.0
24,5.0,4.0,6.0
26,5.5,4.0,7.0
28,5.5,4.0,7.0
30,5.5,4.0,7.0
32,5.5,4.0,7.0
34,5.5,4.0,7.0
36,5.5,4.0,7.0
38,6.0,5.0,7.0
40,6.0,5.0,7.0
42,6.0,5.0,7.0
44,6.5,6.0,7.0
46,6.5,6.0,7.0
48,7.0,7.0,7.0
50,7.0,7.0,7.0
52,7.0,7.0,7.0
54,7.0,7.0,7.0
56,7.0,7.0,7.0
58,7.0,7.0,7.0
60,7.0,7.0,7.0
62,7.0,7.0,7.0
64,7.0,7.0,7.0
66,7.0,7.0,7.0
68,8.5,7.0,10.0
70,10.0,7.0,13.0
72,13.5,8.0,19.0
74,35.0,9.0,61.0
76,70.0,10.0,130.0
78,241.0,10.0,472.0
80,341.5,13.0,670.0
82,441.5,16.0,867.0
84,508.0,19.0,997.0
86,1214.5,31.0,2398.0
88,1516.0,37.0,2995.0
90,1726.0,250.0,3202.0
92,3001.0,1630.0,4372.0
94,3973.0,3001.0,4945.0
96,4573.0,3342.0,5804.0
98,5627.5,4780.0,6475.0
100,6990.0,6853.0,7127.0
