Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.22,                0.21,                0.23,0.0
10,                0.26,                0.25,                0.27,0.0
15,                0.29,                0.27,                0.31,0.0
20,                0.33,                0.31,                0.35,0.0
25,                0.36,                0.35,                0.39,0.0
30,                0.40,                0.37,                0.43,0.0
35,                0.44,                0.41,                0.47,0.0
40,                0.50,                0.47,                0.57,0.0
45,                0.59,                0.55,                0.65,0.0
50,                0.96,                0.79,                1.23,0.0
55,                6.05,                1.25,               34.25,0.0
60,                6.11,                1.31,               34.31,0.0
65,                6.19,                1.35,               34.39,0.0
70,                6.90,                1.43,               34.47,0.0
75,                8.73,                1.55,               34.63,0.0
80,               12.47,                1.85,               41.37,0.0
85,               46.51,               16.53,               99.33,0.0
90,              145.60,               64.43,              258.25,0.0
95,              457.41,              312.10,              651.41,0.0
100,             2069.05,             1652.10,             2373.10,0.0
